Date,close_price,Returns,State,State_name,Portfolio
2023-03-20,156.5643,0.015484151332559426,1,Bull,6
2023-03-21,158.4343,0.011943974456501305,1,Bull,6
2023-03-22,156.992,-0.009103458026450184,0,Flat,6
2023-03-23,158.0862,0.006969781899714533,0,Flat,6
2023-03-24,159.3992,0.008305595301803859,0,Flat,6
2023-03-27,157.4396,-0.012293662703451447,-1,Bear,5
2023-03-28,156.813,-0.003979938973422303,0,Flat,5
2023-03-29,159.9164,0.019790451046788338,1,Bull,6
2023-03-30,161.498,0.00989016761257755,0,Flat,6
2023-03-31,164.0245,0.015644156583982438,1,Bull,7
2023-04-03,165.2877,0.007701288527018901,0,Flat,7
2023-04-04,164.7506,-0.00324948559390692,0,Flat,7
2023-04-05,162.8905,-0.011290398942401358,-1,Bear,6
2023-04-06,163.7858,0.0054963303568962285,0,Flat,6
2023-04-10,161.1697,-0.015972691161260544,-1,Bear,5
2023-04-11,159.9463,-0.007590756823397937,0,Flat,5
2023-04-12,159.25,-0.0043533360884246974,0,Flat,5
2023-04-13,164.681,0.03410361067503942,1,Bull,6
2023-04-14,164.3328,-0.00211439085261822,0,Flat,6
2023-04-17,164.3527,0.00012109572769403165,0,Flat,6
2023-04-18,165.5861,0.007504592257991494,0,Flat,6
2023-04-19,166.74,0.006968580092169718,0,Flat,6
2023-04-20,165.7652,-0.0058462276598297835,0,Flat,6
2023-04-21,164.1438,-0.009781305123150008,0,Flat,6
2023-04-24,164.4522,0.00187884038264019,0,Flat,6
2023-04-25,162.9005,-0.009435568511701353,0,Flat,6
2023-04-26,162.8905,-6.138716578518721e-05,0,Flat,6
2023-04-27,167.5158,0.028395148888363808,1,Bull,7
2023-04-28,168.7791,0.007541378186415759,0,Flat,7
2023-05-01,168.6896,-0.0005302789267154218,0,Flat,7
2023-05-02,167.6452,-0.0061912530470167315,0,Flat,7
2023-05-03,166.5609,-0.006467826099405105,0,Flat,7
2023-05-04,164.9098,-0.009912890720451317,0,Flat,7
2023-05-05,172.6485,0.04692686547433822,1,Bull,8
2023-05-08,172.5788,-0.0004037104289931204,0,Flat,8
2023-05-09,170.858,-0.009971097261077255,0,Flat,8
2023-05-10,172.6335,0.010391670275901488,1,Bull,9
2023-05-11,172.8275,0.0011237679824598334,0,Flat,9
2023-05-12,171.8912,-0.005417540611303062,0,Flat,9
2023-05-15,171.3932,-0.002897181472931609,0,Flat,9
2023-05-16,171.3932,0.0,0,Flat,9
2023-05-17,172.0107,0.0036028267165792993,0,Flat,9
2023-05-18,174.3614,0.01366601031214909,1,Bull,10
2023-05-19,174.471,0.0006285794906442099,0,Flat,10
2023-05-22,173.5148,-0.005480566971015177,0,Flat,10
2023-05-23,170.8852,-0.015154903212867166,-1,Bear,9
2023-05-24,171.1641,0.001632089847453111,0,Flat,9
2023-05-25,172.3095,0.006691823811184827,0,Flat,9
2023-05-26,174.7399,0.014104852024989789,1,Bull,10
